epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6411,2.35557,4.56591,2.11496,0.00168,0.51587,0.1252,0.03223,2.10961,4.88708,2.08473,0.00027151,0.00027151,0.00027151
2,111.473,2.11911,4.05417,2.05135,0.00213,0.54762,0.09496,0.02034,2.00645,4.69621,2.02372,0.000550413,0.000550413,0.000550413
3,165.592,1.99379,3.68272,1.82881,0.02623,0.27778,0.09488,0.03306,2.17634,4.67927,2.08106,0.000822243,0.000822243,0.000822243
4,220.365,2.03556,3.36517,1.84805,0.72468,0.10317,0.13114,0.05116,2.38848,4.73037,2.1736,0.001087,0.001087,0.001087
5,274.959,2.11438,3.28739,1.87011,0.75632,0.04762,0.14527,0.04824,2.5104,4.79154,2.48789,0.00134468,0.00134468,0.00134468
6,328.877,2.11592,3.39469,1.84327,0.61919,0.15079,0.09363,0.0239,2.49056,4.79828,2.45466,0.00134058,0.00134058,0.00134058
7,382.877,2.0252,3.16527,1.78619,0.32963,0.31746,0.18737,0.0618,2.43094,4.53144,2.32477,0.0013229,0.0013229,0.0013229
8,436.794,2.06176,3.11377,1.8305,0.90523,0.05556,0.1004,0.03269,2.67849,5.09695,2.70731,0.00130521,0.00130521,0.00130521
9,490.829,1.99502,3.06111,1.78888,0.18975,0.15079,0.13444,0.04249,2.5433,4.6213,2.54472,0.00128753,0.00128753,0.00128753
10,545.714,2.13279,3.13995,1.82323,0.23047,0.26984,0.17723,0.06571,2.52804,6.17777,2.42368,0.00126985,0.00126985,0.00126985
11,605.142,2.01952,2.98435,1.87854,0.40941,0.38889,0.27071,0.09261,2.28677,5.09408,2.30933,0.00125216,0.00125216,0.00125216
12,660.948,1.98495,2.82681,1.81135,0.46719,0.23016,0.2371,0.06006,2.34036,3.96181,2.2865,0.00123448,0.00123448,0.00123448
13,714.934,1.91064,2.76272,1.77326,0.21359,0.27778,0.18943,0.06332,2.42992,3.61894,2.37948,0.00121679,0.00121679,0.00121679
14,768.892,1.88214,2.8125,1.78767,0.20428,0.27778,0.18999,0.0785,2.24304,3.72944,2.13016,0.00119911,0.00119911,0.00119911
15,822.943,1.85101,2.51391,1.70089,0.6608,0.12698,0.21488,0.09848,2.40146,3.43111,2.24331,0.00118143,0.00118143,0.00118143
16,876.843,1.89787,2.48464,1.74171,0.4681,0.2381,0.26837,0.10579,2.4353,3.30569,2.28508,0.00116374,0.00116374,0.00116374
17,930.637,1.68581,2.41866,1.54638,0.32941,0.31746,0.25407,0.08299,2.61145,3.85728,2.39029,0.00114606,0.00114606,0.00114606
18,983.886,1.8602,2.43946,1.7417,0.7151,0.21233,0.25909,0.08461,2.70989,3.77037,2.58624,0.00112837,0.00112837,0.00112837
19,1037.61,1.75114,2.25801,1.66348,0.23303,0.38889,0.29139,0.09597,2.41044,3.33181,2.31609,0.00111069,0.00111069,0.00111069
